record_id,artifact_code,retrieval_anchor,alert_id,component,severity,metric,threshold,observed_value,triggered_at,acknowledged_at,resolved_at,owner_role,response_action,status,source_uri
ALR-0001,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0001,Gateway 与全部后端服务,P1,error_rate,80,81,2026-08-10T00:00:00.000Z,2026-08-10T00:00:00.000Z,2026-08-10T00:00:00.000Z,PLATFORM_ADMINISTRATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/1
ALR-0002,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0002,主 topic、retry、DLT,P2,latency_p95,80,82,2026-08-10T00:10:00.000Z,2026-08-10T00:10:00.000Z,2026-08-10T00:10:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/2
ALR-0003,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0003,PostgreSQL,P3,consumer_lag,80,83,2026-08-10T00:20:00.000Z,2026-08-10T00:20:00.000Z,2026-08-10T00:20:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/3
ALR-0004,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0004,ai_memory schema,P1,disk_usage,80,84,2026-08-10T00:30:00.000Z,2026-08-10T00:30:00.000Z,2026-08-10T00:30:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/4
ALR-0005,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0005,Redis,P2,running_duration,80,85,2026-08-10T00:40:00.000Z,2026-08-10T00:40:00.000Z,2026-08-10T00:40:00.000Z,PLATFORM_ADMINISTRATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/5
ALR-0006,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0006,MinIO,P3,error_rate,80,86,2026-08-10T00:50:00.000Z,2026-08-10T00:50:00.000Z,2026-08-10T00:50:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/6
ALR-0007,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0007,data-sync,P1,latency_p95,80,87,2026-08-10T01:00:00.000Z,2026-08-10T01:00:00.000Z,2026-08-10T01:00:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/7
ALR-0008,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0008,data-sync scheduler,P2,consumer_lag,80,88,2026-08-10T01:10:00.000Z,2026-08-10T01:10:00.000Z,2026-08-10T01:10:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/8
ALR-0009,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0009,Recovery case,P3,disk_usage,80,89,2026-08-10T01:20:00.000Z,2026-08-10T01:20:00.000Z,2026-08-10T01:20:00.000Z,PLATFORM_ADMINISTRATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/9
ALR-0010,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0010,Java/Python Agent Runtime,P1,running_duration,80,90,2026-08-10T01:30:00.000Z,2026-08-10T01:30:00.000Z,2026-08-10T01:30:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/10
ALR-0011,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0011,RAG pipeline,P2,error_rate,80,91,2026-08-10T01:40:00.000Z,2026-08-10T01:40:00.000Z,2026-08-10T01:40:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/11
ALR-0012,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0012,Gateway/permission-admin,P3,latency_p95,80,92,2026-08-10T01:50:00.000Z,2026-08-10T01:50:00.000Z,2026-08-10T01:50:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/12
ALR-0013,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0013,审计存储,P1,consumer_lag,80,93,2026-08-10T02:00:00.000Z,2026-08-10T02:00:00.000Z,2026-08-10T02:00:00.000Z,PLATFORM_ADMINISTRATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/13
ALR-0014,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0014,PostgreSQL/MinIO/配置,P2,disk_usage,80,94,2026-08-10T02:10:00.000Z,2026-08-10T02:10:00.000Z,2026-08-10T02:10:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/14
ALR-0015,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0015,Gateway/Provider/连接器,P3,running_duration,80,95,2026-08-10T02:20:00.000Z,2026-08-10T02:20:00.000Z,2026-08-10T02:20:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/15
ALR-0016,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0016,Compose/Kubernetes,P1,error_rate,80,96,2026-08-10T02:30:00.000Z,2026-08-10T02:30:00.000Z,2026-08-10T02:30:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/16
ALR-0017,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0017,日志管线,P2,latency_p95,80,97,2026-08-10T02:40:00.000Z,2026-08-10T02:40:00.000Z,2026-08-10T02:40:00.000Z,PLATFORM_ADMINISTRATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/17
ALR-0018,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0018,告警通道,P3,consumer_lag,80,98,2026-08-10T02:50:00.000Z,2026-08-10T02:50:00.000Z,2026-08-10T02:50:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/18
ALR-0019,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0019,全部节点,P1,disk_usage,80,99,2026-08-10T03:00:00.000Z,2026-08-10T03:00:00.000Z,2026-08-10T03:00:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/19
ALR-0020,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0020,变更服务,P2,running_duration,80,100,2026-08-10T03:10:00.000Z,2026-08-10T03:10:00.000Z,2026-08-10T03:10:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/20
ALR-0021,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0021,Gateway 与全部后端服务,P3,error_rate,80,81,2026-08-10T03:20:00.000Z,2026-08-10T03:20:00.000Z,2026-08-10T03:20:00.000Z,PLATFORM_ADMINISTRATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/21
ALR-0022,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0022,主 topic、retry、DLT,P1,latency_p95,80,82,2026-08-10T03:30:00.000Z,2026-08-10T03:30:00.000Z,2026-08-10T03:30:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/22
ALR-0023,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0023,PostgreSQL,P2,consumer_lag,80,83,2026-08-10T03:40:00.000Z,2026-08-10T03:40:00.000Z,2026-08-10T03:40:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/23
ALR-0024,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0024,ai_memory schema,P3,disk_usage,80,84,2026-08-10T03:50:00.000Z,2026-08-10T03:50:00.000Z,2026-08-10T03:50:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/24
ALR-0025,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0025,Redis,P1,running_duration,80,85,2026-08-10T04:00:00.000Z,2026-08-10T04:00:00.000Z,2026-08-10T04:00:00.000Z,PLATFORM_ADMINISTRATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/25
ALR-0026,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0026,MinIO,P2,error_rate,80,86,2026-08-10T04:10:00.000Z,2026-08-10T04:10:00.000Z,2026-08-10T04:10:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/26
ALR-0027,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0027,data-sync,P3,latency_p95,80,87,2026-08-10T04:20:00.000Z,2026-08-10T04:20:00.000Z,2026-08-10T04:20:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/27
ALR-0028,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0028,data-sync scheduler,P1,consumer_lag,80,88,2026-08-10T04:30:00.000Z,2026-08-10T04:30:00.000Z,2026-08-10T04:30:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/28
ALR-0029,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0029,Recovery case,P2,disk_usage,80,89,2026-08-10T04:40:00.000Z,2026-08-10T04:40:00.000Z,2026-08-10T04:40:00.000Z,PLATFORM_ADMINISTRATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/29
ALR-0030,CSV-ALR-810,tenant-10-project-102:alert-history,alert-0030,Java/Python Agent Runtime,P3,running_duration,80,90,2026-08-10T04:50:00.000Z,2026-08-10T04:50:00.000Z,2026-08-10T04:50:00.000Z,OPERATOR,按告警 Runbook 检查并记录结论,RESOLVED,synthetic://datasmart-govern/alerts/tenant-10-project-102/30
