record_id,artifact_code,retrieval_anchor,task_id,execution_id,object_id,trace_id,incident_id,recovery_case_id,component,error_code,failure_reason,current_value,last_success_value,action,status,observed_at,source_uri,confidence,confidence_basis
CSV-PROF-799-001,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0001,EXEC-tenant-20-project-201-0001,object-00,trace-tenant-20-project-201-0001,INC-tenant-20-project-201-0001,RC-tenant-20-project-201-0001,Gateway,CONNECTION_TIMEOUT,"网络或端点超时：连接耗时、DNS、目标健康",1000,1000,"有界增加超时或等待端点恢复；持续失败时退出",ATTENTION_REQUIRED,2026-08-10T00:00:00.000Z,synthetic://datasmart-govern/field-profile-statistics/1,0.90,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-002,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0002,EXEC-tenant-20-project-201-0002,object-01,trace-tenant-20-project-201-0002,INC-tenant-20-project-201-0002,RC-tenant-20-project-201-0002,Task Management,AUTHENTICATION_FAILED,"凭据失效或引用错误：认证响应与凭据引用版本",1001,1000,"禁止自动修改凭据，返回轮换指引",RECOVERED,2026-08-10T00:11:00.000Z,synthetic://datasmart-govern/field-profile-statistics/2,0.91,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-003,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0003,EXEC-tenant-20-project-201-0003,object-02,trace-tenant-20-project-201-0003,INC-tenant-20-project-201-0003,RC-tenant-20-project-201-0003,Agent Runtime,PERMISSION_DENIED,"资源动作未授权：actor、resource、action、审批事实",1002,1000,"立即退出 Loop，说明所需权限",RECOVERED,2026-08-10T00:22:00.000Z,synthetic://datasmart-govern/field-profile-statistics/3,0.92,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-004,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0004,EXEC-tenant-20-project-201-0004,object-03,trace-tenant-20-project-201-0004,INC-tenant-20-project-201-0004,RC-tenant-20-project-201-0004,Python AI Runtime,RATE_LIMIT_EXCEEDED,"来源或目标端限流：429、限流头、连接器容量",1003,1000,"降低并发/批量并有界退避",RECOVERED,2026-08-10T00:33:00.000Z,synthetic://datasmart-govern/field-profile-statistics/4,0.93,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-005,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0005,EXEC-tenant-20-project-201-0005,object-04,trace-tenant-20-project-201-0005,INC-tenant-20-project-201-0005,RC-tenant-20-project-201-0005,Kafka Broker,SCHEMA_DRIFT_DETECTED,"来源结构发生变化：schema 指纹与元数据差异",1004,1000,"刷新元数据；唯一兼容映射才自动修复",RECOVERED,2026-08-10T00:44:00.000Z,synthetic://datasmart-govern/field-profile-statistics/5,0.94,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-006,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0006,EXEC-tenant-20-project-201-0006,object-05,trace-tenant-20-project-201-0006,INC-tenant-20-project-201-0006,RC-tenant-20-project-201-0006,Kafka Consumer,FIELD_MAPPING_MISSING,"目标字段缺少映射：源目标字段、历史成功映射",1005,1000,"唯一映射可修复，歧义映射退出",RECOVERED,2026-08-10T00:55:00.000Z,synthetic://datasmart-govern/field-profile-statistics/6,0.95,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-007,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0007,EXEC-tenant-20-project-201-0007,object-06,trace-tenant-20-project-201-0007,INC-tenant-20-project-201-0007,RC-tenant-20-project-201-0007,Outbox,NOT_NULL_VIOLATION,"目标非空字段收到空值：错误字段、字段画像、已批准默认值",1006,1000,"使用已批准静态默认值；不得放宽约束",RECOVERED,2026-08-10T01:06:00.000Z,synthetic://datasmart-govern/field-profile-statistics/7,0.96,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-008,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0008,EXEC-tenant-20-project-201-0008,object-07,trace-tenant-20-project-201-0008,INC-tenant-20-project-201-0008,RC-tenant-20-project-201-0008,DLT,DATA_TYPE_MISMATCH,"源目标类型不兼容：类型、精度、长度、样本统计",1007,1000,"无损转换可修复，有损转换退出",ATTENTION_REQUIRED,2026-08-10T01:17:00.000Z,synthetic://datasmart-govern/field-profile-statistics/8,0.97,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-009,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0009,EXEC-tenant-20-project-201-0009,object-08,trace-tenant-20-project-201-0009,INC-tenant-20-project-201-0009,RC-tenant-20-project-201-0009,Datasource,NUMERIC_OVERFLOW,"数值超过目标精度：最值、precision、scale",1008,1000,"禁止截断，返回扩容或映射建议",RECOVERED,2026-08-10T01:28:00.000Z,synthetic://datasmart-govern/field-profile-statistics/9,0.98,SYNTHETIC_CORRELATED_RECORD
CSV-PROF-799-010,CSV-PROF-799,tenant-20-project-201:field-profile-statistics,TASK-tenant-20-project-201-0010,EXEC-tenant-20-project-201-0010,object-09,trace-tenant-20-project-201-0010,INC-tenant-20-project-201-0010,RC-tenant-20-project-201-0010,Data Sync Worker,STRING_TRUNCATION_RISK,"字符串超过目标长度：最大长度与超限行数",1009,1000,"禁止静默截断，退出并给出影响",RECOVERED,2026-08-10T01:39:00.000Z,synthetic://datasmart-govern/field-profile-statistics/10,0.99,SYNTHETIC_CORRELATED_RECORD
